,name,street,city,state,zip,contact,lat,lng
0,Conway County Health Unit,100 Hospital DR,Morrilton,AR,72110,(501) 354-4652 ,35.1674683,-92.7201903
1,Craighead County Health Unit,611 Washington AVE E,Jonesboro,AR,72401,(870) 933-4585 ,35.8379887,-90.6985843
2,Crawford County Health Unit,2040 Chestnut,Van Buren,AR,72956,(479) 474-6391 ,35.4345835,-94.3401271
3,"Crittenden County Heatlh Unit West
Memphis",901 N. 7th St,West Memphis,AR,72301,(870) 735-4334 ,35.1546823,-90.1748866
4,Cross County Health Unit,701 Julia Avenue East,Wynne,AR,72396,(870) 238-2101 ,35.2182007,-90.7845829
5,Dallas County Health Unit,209 N Clifton,Fordyce,AR,71742,(870) 352-7197 ,33.8108663,-92.425525
6,Desha County Health Unit Dumas,751 Hwy. 65 HWY S,Dumas,AR,71639,(870) 382-2377 ,33.8752389,-91.4798947
7,Drew County Health Unit,940 Scogin DR,Monticello,AR,71655,(870) 367-6234 ,33.6088796,-91.816135
8,Faulkner County Health Unit,811 N. Creek DR,Conway,AR,72033,(501) 450-4941 ,35.0960877,-92.4238436
9,Franklin County Health Unit,312 North 13th Street,Ozark,AR,72949,(479) 667-2555 ,35.4902985,-93.8378607
10,Fulton County Health Unit,510 S. Main St,Salem,AR,72576,(870) 895-3300 ,36.3603265,-91.8324095
11,Garland County Health Unit,1425 Malvern Avenue,Hot Springs,AR,71901,(501) 624-3394 ,34.4982595,-93.0389022
12,Grant County Health Unit,700 E. Center,Sheridan,AR,72150,(870) 942-3157 ,34.307227,-92.3946427
13,Hempstead County Health Unit,808 W. 5th St,Hope,AR,71801,(870) 777-2191 ,33.6632962,-93.5998674
14,Hot Springs County Health Unit,2204 Sullenberger,Malvern,AR,72104,(501) 332-6974 ,34.3578429,-92.7876229
15,Howard County Health Unit,201 E. Hempstead,Nashville,AR,71852,(870) 845-2208 ,33.9422228,-93.84588
16,Independence County Health Unit,120 Weaver Avenue,Batesville,AR,72501,(870) 793-8847 ,35.7674148,-91.5847297
17,Izard County Health Unit,149 Haley St.,Melbourne,AR,72556,(870) 368-7790 ,36.0556993,-91.8947754
18,Jackson County Health Unit,1505 N. Pecan,Newport,AR,72112,(870) 523-8968 ,35.620097,-91.264939
19,Jefferson County Health Unit,2306 Rike Dr,Pine Bluff,AR,71611,(870) 535-2142 ,34.2085674,-92.0258649
20,Johnson County Health Unit,6 Professional Park Dr,Clarksville,AR,72830,(479) 754-2949 ,35.461985,-93.4458559
21,Lafayette County Health Unit,1113 Chestnut,Lewisville,AR,71845,(870) 921-5744 ,33.3656158,-93.5784809
22,Lawrence County Health Unit,1050 W. Free St,Walnut Ridge,AR,72476,(870) 886-3201 ,36.0716883,-90.9660491
23,Lee County Health Unit,141 North Hicky Rd,Marianna,AR,72360,(870) 295-2400 ,34.7662718,-90.7846277
24,Lincoln County Health Unit,214 Lincoln St S,Star City,AR,71667,(870) 628-5121 ,33.9419659,-91.8436191
25,Little River County Health Unit,150 Keller,Ashdown,AR,71822,(870) 898-3831 ,33.6729729,-94.1284672
26,"Logan County North Health Unit
Booneville",721 West 1st St,Booneville,AR,72927,(479) 675-2593 ,35.1383272,-93.9334279
27,Logan County South Health Unit Paris 150 Lowder South,,Paris,AR,72855,(479) 963-6126 ,35.2923686,-93.7288123
28,Lonoke County Health Unit Lonoke,306 Lincoln St N,Lonoke,AR,72086,(501) 676-2268 ,34.7786728,-91.9093755
29,Madison County Health Unit,709 College,Huntsville,AR,72740,(479) 738-2612 ,36.0936509,-93.7366211
30,Marion County Health Unit,707 Hwy 202 West HWY,Yellville,AR,72687,(870) 449-4259 ,36.2432537,-92.7021668
31,Miller County Health Unit,503 Walnut,Texarkana,AR,71854,(870) 773-2108 ,33.4258311,-94.0419643
32,Mississippi Co. Health Unit Blytheville 1299 10th St N,,Blytheville,AR,72316,(870) 763-7064 ,35.9323808,-89.9068219
33,Mississippi Co. Health Unit Osceola,720 W. Lee,Osceola,AR,72370,(870) 563-2521 ,35.7004863,-89.9784924
34,Monroe County Health Unit,306 King DR W,Brinkley,AR,72021,(870) 734-1461 ,34.9030216,-91.1956205
35,Montgomery County Health Unit,346 Luzerne St,Mt Ida,AR,71957,(870) 867-2331 ,34.5522205,-93.6396212
36,Nevada Co. Health Unit,1501 West First North,Prescott,AR,71857,(870) 887-2004 ,33.813094,-93.376524
37,Newton County Health Unit,506 West Court St,Jasper,AR,72641,(870) 446-2216 ,36.005995,-93.1927812
38,Ouachita Co. Health Unit,740 California Ave Sw,Camden,AR,71701,(870) 836-5033 ,33.5734309,-92.8361607
39,Perry Co. Health Unit,1039 N. Fourche,Perryville,AR,72126,(501) 889-5156 ,35.0135642,-92.8003527
40,Phillips Co. Health Unit,110 Shirley Hicks Dr,West Helena,AR,72390,(870) 572-9028 ,34.5246679,-90.637005
41,Pike Co. Health Unit,15 Caddo Drive,Murfreesboro,AR,71958,(870) 285-3154 ,34.0640409,-93.6933293
42,Poinsett Co. Health Unit Harrisburg,119 N. Main St,Harrisburg,AR,72432,(870) 578-4480 ,35.5634444,-90.7179089
43,Poinsett Co. Health Unit Marked Tree 102 Liberty St,,Marked Tree,AR,72365,(870) 358-3615 ,35.5275998,-90.4209133
44,Poinsett Co. Health Unit Trumann,1204 Main St W,Trumann,AR,72472,(870) 483-5762 ,35.6717963,-90.5234197
45,Polk Co. Health Unit,702 Hornbeck,Mena,AR,71953,(479) 394-2707 ,34.5834284,-94.2246453
46,Pope Co. Health Unit,203 Weir Rd,Russellville,AR,72802,(479) 968-6004 ,35.2799019,-93.1073752
47,Prairie County Health Unit,204 Main Street,Des Arc,AR,72040,(870) 256-4430 ,34.9765253,-91.5021004
48,"Pulaski County Health Unit Central-
Little Rock",3915 8th St W,Little Rock,AR,72204,(501) 280-3100 ,34.7434497,-92.3173479
49,Pulaski Co. Health Unit Jacksonville,3000 N. 1st,Jacksonville,AR,72076,(501) 982-7477 ,34.8919135,-92.103644
50,"Pulaski Co. Health Unit North Little
Rock",2800 Willow St,North Little Rock,AR,72114,(501) 791-8551 ,34.7805107,-92.2711179
51,Randolph County Health Unit,1304 Pace Road,Pocahontas,AR,72455,(870) 892-5239 ,36.2503172,-90.9530795
52,"St. Francis County Health Unit Forrest
City",413 N. Division,Forrest City,AR,72335,(870) 633-1340 ,35.0110125,-90.78982
53,Saline Co. Health Unit,1612 Edison AVE,Benton,AR,72015,(501) 303-5650 ,34.556488,-92.5677074
54,Scott Co. Health Unit,10 S. Main Street,Waldron,AR,72958,(479) 637-2165 ,34.9005133,-94.091393
55,Searcy County Health Unit,742 Airport RD,Marshall,AR,72650,(870) 448-3374 ,35.9000068,-92.6602765
56,Sebastian Co. Health Unit,3112 S. 70th St,Fort Smith,AR,72903,(479) 452-8600 ,35.3516843,-94.3559844
57,Sevier County Health Unit,304 N. 4th St,DeQueen,AR,71832,(870) 642-2535 ,34.0390216,-94.3411403
58,Sharp County Health Unit,724 Ashflat DR,Ash Flat,AR,72513,(870) 994-7364 ,36.2284171,-91.6057428
59,Stone County Health Unit,204 Whitfield St,Mountain View,AR,72560,(870) 269-3308 ,35.8674753,-92.1308229
60,Union County Health Unit,301 American Rd,El Dorado,AR,71730,(870) 863-5101 ,33.2093542,-92.6298684
61,Van Buren County Health Unit,526 Quality Dr,Clinton,AR,72031,(501) 745-2485 ,35.5714193,-92.4563582
62,Washington County Health Unit,3270 Wimberly DR,Fayetteville,AR,72703,(479) 521-8181 ,36.1102166,-94.1534275
63,White County Health Unit Beebe,306 Gum St N,Beebe,AR,72012,(501) 882-5128 ,35.0707469,-91.8854248
64,White County Health Unit Searcy,112 Brantly RD,Searcy,AR,72143,(501) 268-6102 ,35.2069736,-91.7347552
65,Yell County Health Unit Danville,1309 8th St E,Danville,AR,72833,(479) 229-3509 ,35.0541234,-93.381159
66,Arkansas County Health Unit Dewitt,1616 S. Madison St,DeWitt,AR,72042,(870) 946-2934 ,34.2792791,-91.3393537
67,"Arkansas County Health Unit
Stuttgart",1602 N Buerkle RD,Stuttgart,AR,72160,(870) 673-1609 ,34.516591,-91.557139
68,Ashley County Health Unit Crossett,1300 W. 5th AVE,Crossett,AR,71635,(870) 364-2115 ,33.1296063,-91.9791228
69,Ashley County Health Unit Hamburg,401 N. Cherry,Hamburg,AR,71646,(870) 853-5525 ,33.2221665,-91.7946291
70,Baxter County Health Unit,206 Bucher Dr,Mountain Home,AR,72653,(870) 425-3072 ,36.339444,-92.3961246
71,Benton County Health Unit Rogers,1200 West Walnut St,Rogers,AR,72756,(479) 986-1300 ,36.3330287,-94.1338798
72,Boone County Health Unit,1622 Campus DR,Harrison,AR,72601,(870) 743-5244 ,36.2182063,-93.0835677
73,Bradley County Health Unit,208 Bragg St,Warren,AR,71671,(870) 226-8440 ,33.6126917,-92.078235
74,Calhoun County Health Unit,1119 Prestress DR,Hampton,AR,71744,(870) 798-2808 ,33.5384389,-92.4526039
75,Greene County Health Unit,801 Goldsmith Rd.,Paragould,AR,72451,(870) 236-7782 ,36.082332,-90.4748239
76,"Yell County Health Department
Dardanelle",719 N. 5th,Dardanelle,AR,72834,(479) 495-2741 ,35.2237649,-93.1622955
77,Carroll County Health Unit,402 Hailey RD,Berryville,AR,72616,(870) 423-2923 ,36.359503,-93.548777
78,"Chicot County Health Unit Lake
Village",1742 Hwy. 65 & 82,Lake Village,AR,71653,(870) 265-2236 ,33.300785,-91.2795241
79,Clark County Health Unit,605 10th St S,Arkadelphia,AR,71923,(870) 246-4471 ,34.1164213,-93.0586842
80,Clay County Health Unit Piggott,1009 S. Garfield,Piggott,AR,72454,(870) 598-3390 ,36.3733898,-90.1847388
81,Cleburne County Health Unit,2319 HWY 110 HWY W,Heber Springs,AR,72543,(501) 362-7581 ,35.4935254,-92.018538
82,Cleveland County Health Unit,409 E. Magnolia,Rison,AR,71665,(870) 325-6311 ,33.9595978,-92.1862385
83,Columbia County Health Unit,207 South Jefferson,Magnolia,AR,71753,(870) 235-3798 ,33.265515,-93.241982
84,Lonoke County (Cabot),118 South First Sts,Cabot,AR,72086,(501) 843-7561 ,34.9730379,-92.0172095
85,Clay County Health Unit Corning,301 North Missouri St N,Corning,AR,72422,(870) 857-6281 ,36.4141105,-90.5876388
86,Desha County Health Unit,200 Ash St E,McGehee,AR,71654,(870) 222-3910 ,33.6345766,-91.3969785
87,Central High School,1500 Park Street,Little Rock,AR,72202,(501) 280-3340 ,34.7367998,-92.2986873
88,University of Arkansas Pine Bluff,1200 N University Drive,Pine Bluff,AR,71601,(870) 535-2142 ,34.2262213,-92.0195428
89,Crittenden County Health Clinic,841 Ruth St,Earle,AR,72331,(870) 972-7393 ,35.2720929,-90.4717486
90,Woodruff County Health Unit,623 N. 9th St N,Augusta,AR,72006,(870) 347-5915 ,35.2880967,-91.358028
91,Benton County Health Unit,101 West University,Siloam Springs,AR,72761,(479) 549-3794 ,36.1862225,-94.5417134
92,Washington County Health Unit,614 East Emma,Springdale,AR,72476,(479) 973-8484 ,36.1854151,-94.1230514
93,"Pulaski County Health Unit-
Southwest",8901 Dailey Drive,Little Rock,AR,72209,(501) 565-9311 ,34.6676017,-92.3545169
94,Dollarway High School,4900 Dollarway Rd,Pine Bluff,AR,71602,(870) 535-2142 ,34.2406032,-92.0553782
95,"Caring Hands Healthcare Centers, Inc.",3101 Elk Drive,McAlester,OK,74501,(918) 426-2442 ,34.8909286,-95.7725321
96,"Community Health Connection, Inc.",2321 East 3rd Street,Tulsa,OK,74104,(918) 622-0641 http://www.communityhealthconnection.org ,36.1569033,-95.9587655
97,"Community Health Connection, Inc.",2321 East 3rd Street,Tulsa,OK,74104,(918) 622-0641 http://www.communityhealthconnection.org ,36.1569033,-95.9587655
98,"Community Health Connection, Inc.",9912 East 21st Street,Tulsa,OK,74129,(918) 710-4411 http://www.communityhealthconnection.org ,36.1328637,-95.8653141
99,West Baton Rouge Parish Health Unit,685 Louisiana St,Port Allen,LA,70767,(225) 342-7525 http://www.healthychoicesla.org ,30.4605952,-91.2083015
100,Assumption Parish Health Unit,158 Hwy. 1008,Napoleonville,LA,70390,(985) 369-6031 http://www.healthychoicesla.org ,29.9396998,-91.0299186
101,"Lafourche Parish Health Unit -
Galliano",133 W. 112th St,Cut Off,LA,70345,(985) 632-5567 http://www.healthychoicesla.org ,29.4780793,-90.3217779
102,"Lafourche Parish Health Unit -
Thibodaux",2535 Veterans Blvd,Thibodaux,LA,70301,(985) 447-0921 ,29.7714361,-90.8460913
103,St. James Parish Health Unit,29170 Health Unit St,Vacherie,LA,70090,(225) 265-2181 http://www.healthychoicesla.org,29.9660981,-90.7133388
104,St. John Parish Health Unit,473 Central Ave,Reserve,LA,70084,(985) 536-2172 http://www.healthychoicesla.org,30.0664077,-90.5522646
105,St. Mary Parish Health Unit,1200 David Dr,Morgan City,LA,70380,(985) 380-2441 http://www.healthychoicesla.org,29.7081606,-91.1979372
106,Terrebonne Parish Health Unit,600 Polk St,Houma,LA,70360,(985) 857-3601 http://www.healthychoicesla.org,29.5938295,-90.7343477
107,Acadia Parish Health Unit,1029 Capitol Ave,Crowley,LA,70526,(337) 788-7507 http://www.healthychoicesla.org,30.2076488,-92.3986632
108,Evangeline Parish Health Unit,1010 W. LaSalle St,Ville Platte,LA,70586,(337) 363-1135 http://www.healthychoicesla.org,30.6940625,-92.2848165
109,Lafayette Parish Health Unit,220 W. Willow St,Lafayette,LA,70501,(337) 262-5616 http://www.healthychoicesla.org,30.24572,-92.0164
110,St. Landry Parish Health Unit,308 W. Bloch St,Opelousas,LA,70750,(337) 948-0220 http://www.healthychoicesla.org,30.5384317,-92.0850936
111,St. Martin Parish Health Unit,303 W. Port St,St Martinville,LA,70582,(337) 394-3097 http://www.healthychoicesla.org,30.1236462,-91.8346645
112,Vermilion Parish Health Unit,2501 W. Charity St,Abbeville,LA,70510,(337) 893-1443 http://www.healthychoicesla.org,29.9724294,-92.1082923
113,Beauregard Parish Health Unit,216 Evangeline St,Deridder,LA,70634,(337) 463-4486 http://www.healthychoicesla.org,30.8489712,-93.2733731
114,"Calcasieu Parish Health Unit- Lake
Charles",3236 Kirkman St,Lake Charles,LA,70601,(337) 478-6020 http://www.healthychoicesla.org ,30.1986963,-93.2106896
115,Jefferson Davis Parish Health Unit,403 Baker St,Jennings,LA,70546,(337) 824-2193 http://www.healthychoicesla.org ,30.2148816,-92.6623185
116,"Avoyelles Parish Health Unit -
Marksville",657 Government St,Marksville,LA,71351,(318) 253-4528 http://www.healthychoicesla.org ,31.1153365,-92.0676111
117,Avoyelles Parish Health Unit - Bunkie,406 Walnut Street St,Bunkie,LA,71322,(318) 346-2586 http://www.healthychoicesla.org,30.9513296,-92.1832341
118,Catahoula Parish Health Unit,200 Third St,Jonesville,LA,71343,(318) 339-8352 http://www.healthychoicesla.org,31.6256736,-91.8143997
119,Concordia Parish Health Unit,905 Mickey Gilley Ave,Ferriday,LA,71334,(318) 757-8633 http://www.healthychoicesla.org,31.6293727,-91.5611639
120,Grant Parish Health Unit,340-A Webb Smith Dr,Colfax,LA,71417,(318) 627-3134 http://www.healthychoicesla.org,31.5246739,-92.685613
121,LaSalle Parish Health Unit,1673 North Second St,Jena,LA,71342,(318) 992-4842 ,31.6853213,-92.1315197
122,Rapides Parish Health Unit,5604-A Coliseum Blvd,Alexandria,LA,71303,(318) 487-5282 http://www.healthychoicesla.org,31.29661,-92.50514
123,Vernon Parish Health Unit,406 W. Fertitta Blvd,Leesville,LA,71446,(337) 238-6410 http://www.healthychoicesla.org,31.1379675,-93.2678429
124,Winn Parish Health Unit,301 West Main St,Winnfield,LA,71483,(318) 628-2148 http://www.healthychoicesla.org,31.9267021,-92.6406983
125,Bienville Parish Health Unit- Arcadia,1285 Pine St,Arcadia,LA,71001,(318) 263-2125 http://www.healthychoicesla.org ,32.5489002,-92.9160093
126,Bossier Parish Health Unit,3022 Old Minden Road,Bossier City,LA,71112,(318) 741-7314 http://www.healthychoicesla.org ,32.5216772,-93.6923964
127,Caddo Parish Health Unit,1035 Creswell Ave,Shreveport,LA,71101,(318) 676-5222 http://www.healthychoicesla.org ,32.5020972,-93.741208
128,Claiborne Parish Health Unit,624 West Main St,Homer,LA,71040,(318) 927-6127 http://www.healthychoicesla.org,32.793281,-93.055104
129,Desoto Parish Health Unit,113 Jefferson St,Mansfield,LA,71052,(318) 872-0472 http://www.healthychoicesla.org,32.0373276,-93.7087927
130,Natchitoches Parish Health Unit,625 Bienville St.,Natchitoches,LA,71457,(318) 357-3132 http://www.healthychoicesla.org,31.7515027,-93.0799964
131,Red River Parish Health Unit,2015 Red Oak Road,Coushatta,LA,71019,(318) 932-4087 http://www.healthychoicesla.org,32.0139135,-93.3405459
132,Sabine Parish Health Unit,1230 West Louisiana,Many,LA,71449,(318) 265-4105 http://www.healthychoicesla.org,31.5664731,-93.4770439
133,Webster Parish Health Unit - Minden,1200 Homer Road,Minden,LA,71055,(318) 371-3030 http://www.healthychoicesla.org ,32.6246188,-93.2535083
134,"Webster Parish Health Unit -
Springhill",110 June Anthony,Springhill,LA,71075,(318) 539-4314 http://www.healthychoicesla.org,32.9990628,-93.4623166
135,Caldwell Parish Health Unit,501 East Collins Rd.,Columbia,LA,71418,(318) 649-2393 http://www.healthychoicesla.org,32.0763599,-92.0940541
136,Franklin Parish Health Unit,6614 Main St,Winnsboro,LA,71295,(318) 435-2143 http://www.healthychoicesla.org,32.1655099,-91.716327
137,Jackson Parish Health Unit,228 Bond St,Jonesboro,LA,71251,(318) 259-6601 http://www.healthychoicesla.org,32.2391629,-92.6899784
138,Madison Parish Health Unit,123 Bailey Road,Tallulah,LA,71282,(318) 574-3311 http://www.healthychoicesla.org,32.4060532,-91.172862
139,Morehouse Parish Health Unit,650 School Road,Bastrop,LA,71220,(318) 283-0806 http://www.healthychoicesla.org,32.7726632,-91.9131451
140,Richland Parish Health Unit,21 Lynn Gayle Robertson Rd,Rayville,LA,71269,(318) 728-5365 http://www.healthychoicesla.org,32.4591544,-91.7470917
141,Union Parish Health Unit,1002 Marion Hwy,Farmerville,LA,71241,(318) 368-3157 http://www.healthychoicesla.org,32.7862759,-92.3910449
142,West Carroll Parish Health Unit,402 Beale St,Oak Grove,LA,71263,(318) 428-9361 http://www.healthychoicesla.org,32.8591937,-91.3860816
143,Livingston Parish Health Unit,20399 Government Blvd,Livingston,LA,70754,(225) 686-7017 http://www.healthychoicesla.org,30.4829391,-90.7502352
144,"Tangipahoa Parish Health Unit -
Amite",330 W. Oak St,Amite,LA,70422,(985) 748-2020 http://www.healthychoicesla.org ,30.7275618,-90.513951
145,"Tangipahoa Parish Health Unit -
Hammond",15481 W. Club Deluxe Road,Hammond,LA,70403,(985) 543-4165 http://www.healthychoicesla.org ,30.4769183,-90.4678817
146,"Washington Parish Health Unit -
Franklinton",120 Eleventh Street,Franklinton,LA,70438,(985) 839-5646 http://www.healthychoicesla.org ,30.8557028,-90.158858
147,"Washington Parish Health Unit -
Bogalusa",626 Carolina Ave,Bogalusa,LA,70427,(985) 732-6615 http://www.healthychoicesla.org ,30.7892798,-89.8544139
148,"Jefferson Parish Health Unit -
Marrero",1855 Ames Blvd,Marrero,LA,70072,(504) 349-8802 http://www.healthychoicesla.org ,29.882087,-90.1120582
149,"Jefferson Parish Health Unit -
Metairie",111 N. Causeway Blvd,Metairie,LA,70001,(504) 838-5100 http://www.healthychoicesla.org ,29.9753174,-90.1552773
150,East Feliciana Parish Health Unit,12080 Marston St,Clinton,LA,70722,(225) 683-8551 http://www.healthychoicesla.org ,30.8630963,-91.023267
151,Iberville Parish Health Unit,24705 Plaza DR,Plaquemine,LA,70764,(225) 687-9021 http://www.healthychoicesla.org ,30.2632577,-91.2470299
152,Pointe Coupee Parish Health Unit,282-B Hospital Road,New Roads,LA,70760,(225) 638-7320 http://www.healthychoicesla.org,30.684164,-91.4632238
153,Ouachita Parish Health Unit,1650 Desiard St,Monroe,LA,71201,(318) 361-7370 http://www.healthychoicesla.org,32.5094375,-92.1027651
154,Iberia Parish Health Unit,715 B Weldon St,New Iberia,LA,70560,(337) 373-0021 http://www.healthychoicesla.org,29.990064,-91.811152
155,Delgado Personal Health Center,571 N. Rampart St,New Orleans,LA,70112,(504) 658-2540 http://www.healthychoicesla.org,29.9595285,-90.0693862
156,"Bienville Parish Health Unit -
Ringgold",2145 Mill Street,Ringgold,LA,71068,(318) 263-2125 http://www.healthychoicesla.org ,32.3279834,-93.2866996
157,Lincoln Parish Health Unit,405 East Georgia Ave,Ruston,LA,71270,(318) 251-4120 http://www.healthychoicesla.org ,32.531433,-92.633234
158,East Carroll Parish Health Unit,403 Second Street,Lake Providence,LA,71254,(318) 559-2012 http://www.healthychoicesla.org ,32.8030415,-91.1734735
159,Allen Parish Health Unit,145 Hospital Drive,Oakdale,LA,71463,(318) 335-1147 ,30.817091,-92.6449087
160,Cameron Parish Health Unit,107 Recreation Center Lane,Cameron,LA,70631,(337) 775-5368 http://www.healthychoicesla.org ,29.7998927,-93.3242126
161,AHL- St. Bernard,8050 W. Judge Perez Drive,Chalmette,LA,70043,(504) 281-2800 https://accesshealthla.org/location/st-bernard-chalmette/ ,29.9546224,-89.9891606
162,AHL- St. Charles,843 Milling Avenue,Luling,LA,70070,(985) 785-5800 https://accesshealthla.org/location/st-charles-luling/ ,29.9231571,-90.3694244
163,AHL- St. Tammany,501 Robert Boulevard,Slidell,LA,70458,(985) 607-0400 https://accesshealthla.org/location/st-tammany-slidell/ ,30.3003246,-89.7571947
164,RKM- Springfield,27124 Louisiana 42,Springfield,LA,70462,(225) 395-8022 https://www.rkmcare.org/rkm-springfield/ ,30.4327501,-90.5563663
